subject_id,session_id,n_workstation_rounds,n_adaptation_rounds,n_rounds_total
ac008,001,3,3,6
ac008,017,3,3,6
afs033,009,3,3,6
afs033,015,3,0,3
afs033,023,3,3,6
ag044,029,3,3,6
ag044,034,3,3,6
ag044,039,3,3,6
ak031,002,3,3,6
ak031,009,3,3,6
ak031,016,3,3,6
am013,007,3,3,6
am013,033,3,3,6
am013,036,3,3,6
am045,002,3,3,6
am045,011,3,0,3
am045,016,3,3,6
am045,017,0,1,1
ar032,015,3,0,3
aw037,016,3,3,6
aw037,021,3,3,6
aw037,023,3,3,6
bh003,005,3,3,6
bh003,010,3,0,3
bh003,015,3,0,3
cs047,015,3,0,3
cs047,021,3,3,6
cs047,022,3,3,6
dl011,007,3,3,6
dl011,010,3,0,3
dl011,030,3,3,6
dp017,002,3,3,6
dp017,008,3,3,6
dp017,013,3,0,3
eg001,006,3,3,6
eg001,032,3,3,6
eg001,036,3,3,6
el010,014,3,0,3
el010,023,3,3,6
el010,035,3,3,6
fa043,009,3,3,6
fa043,016,3,3,6
fa043,023,3,3,6
gh029,015,3,0,3
gh029,024,3,3,6
gh029,036,3,3,6
hd025,012,3,0,3
hd025,032,3,3,6
ip039,005,3,3,6
ip039,019,3,3,6
ip039,029,3,3,6
is048,004,3,3,6
is048,018,3,3,6
is048,020,3,3,6
it034,008,3,3,6
it034,014,3,0,3
it034,022,3,3,6
jc006,004,3,3,6
jc006,012,3,0,3
jc006,033,3,3,6
jc024,003,3,3,6
jc024,026,3,3,6
jc024,036,3,3,6
jfr046,021,3,3,6
jfr046,024,3,3,6
jfr046,031,3,3,6
jn055,025,3,3,6
jn055,029,3,3,6
jn055,034,3,3,6
js016,002,3,3,6
js016,011,3,0,3
js016,028,3,3,6
jt019,007,3,3,6
jt019,010,3,0,3
jt019,015,3,0,3
ke028,005,3,3,6
ke028,008,3,3,6
ke028,013,3,0,3
kl009,007,3,3,6
kl009,033,3,3,6
kl009,038,3,3,6
kw035,025,3,3,6
kw035,028,3,3,6
kw035,038,3,3,6
lc023,003,3,3,6
lc023,012,3,0,3
lc023,014,3,0,3
ldg026,008,3,3,6
lj002,003,3,3,6
lj002,027,3,3,6
lj002,037,3,3,6
lr056,020,3,3,6
lr056,023,3,3,6
lr056,027,3,3,6
lw049,002,3,3,6
lw049,011,3,0,3
lw049,026,3,3,6
mc050,006,3,3,6
mc050,009,3,3,6
mc050,018,3,3,6
mns015,006,3,3,6
mns015,032,3,3,6
mns015,038,3,3,6
nk042,002,3,3,6
nk042,016,3,3,6
nk042,035,3,3,6
ny038,009,3,3,6
ny038,014,3,0,3
ny038,024,3,3,6
rc007,004,3,3,6
rc007,031,3,3,6
rc007,036,3,3,6
rs004,005,3,3,6
rs004,011,3,0,3
rs004,013,3,0,3
rs052,032,3,3,6
rs052,036,3,3,6
rz021,001,3,3,6
rz021,012,3,0,3
rz021,014,3,0,3
sc005,021,3,3,6
sc005,031,3,3,6
sc005,039,3,3,6
sj051,019,3,3,6
sj051,022,3,3,6
sj051,026,3,3,6
sm014,003,3,3,6
sm014,012,3,0,3
sm014,017,3,3,6
ss018,024,3,3,6
tx022,003,3,3,6
tx022,010,3,0,3
tx022,017,3,3,6
va041,004,3,3,6
va041,017,3,3,6
va041,020,3,3,6
xw020,004,3,3,6
xw020,018,3,3,6
xw020,019,3,3,6
ysl012,007,3,3,6
ysl012,018,3,3,6
ysl012,037,3,3,6
zi040,006,3,3,6
zi040,009,3,3,6
zi040,016,3,3,6
